,times_rv_observed,rv_observed,rv_err_observed,times_rv_orbit,rv_orbit,rv_orbit_sum,times_astrometry_observed,ra_observed,dec_observed,ra_err_observed,dec_err_observed,times_astrometry_orbit,ra_orbit,ra_orbit_sum,dec_orbit,dec_orbit_sum
8772,,,,6457.358535853586,[-0.01754795  5.38191851],5.3643705622383795,,,,,,3126.6534653465346,[-1.06278362e-07 -3.72103632e-04],-0.0003722099102193259,[-2.61075494e-07 -2.10763982e-04],-0.00021102505713423028
8773,,,,6457.718471847185,[-0.0171818   5.37837944],5.361197640918231,,,,,,3127.0099009900987,[-1.07408877e-07 -3.72266049e-04],-0.0003723734579700883,[-2.60182527e-07 -2.10619886e-04],-0.00021088006867711867
8774,,,,6458.078407840784,[-0.01681506  5.37483921],5.358024144296716,,,,,,3127.366336633663,[-1.08535405e-07 -3.72428377e-04],-0.00037253691274753215,[-2.59279904e-07 -2.10475740e-04],-0.00021073502021596256
8775,,,,6458.438343834383,[-0.01644777  5.37129783],5.354850060209365,,,,,,3127.7227722772277,[-1.09657905e-07 -3.72590617e-04],-0.0003727002744684905,[-2.58367659e-07 -2.10331544e-04],-0.00021058991181942442
8776,,,,6458.798279827983,[-0.01607992  5.3677553 ],5.351675376481404,,,,,,3128.0792079207918,[-1.10776337e-07 -3.72752767e-04],-0.0003728635430499829,[-2.57445830e-07 -2.10187298e-04],-0.0002104447435565112
8777,,,,6459.158215821582,[-0.01571153  5.36421161],5.348500080928098,,,,,,3128.4356435643563,[-1.11890662e-07 -3.72914828e-04],-0.00037302671840921676,[-2.56514453e-07 -2.10043001e-04],-0.0002102995154965715
8778,,,,6459.518151815182,[-0.01534262  5.36066678],5.345324161355,,,,,,3128.792079207921,[-1.13000838e-07 -3.73076800e-04],-0.000373189800463588,[-2.55573566e-07 -2.09898654e-04],-0.00021015422770929594
8779,,,,6459.878087808781,[-0.01497319  5.3571208 ],5.342147605558447,,,,,,3129.148514851485,[-1.14106825e-07 -3.73238682e-04],-0.0003733527891306826,[-2.54623206e-07 -2.09754257e-04],-0.0002100088802647136
8780,,,,6460.238023802381,[-0.01460327  5.35357367],5.338970401325783,,,,,,3129.5049504950493,[-1.15208585e-07 -3.73400476e-04],-0.00037351568432827833,[-2.53663412e-07 -2.09609810e-04],-0.00020986347323319075
8781,,,,6460.5979597959795,[-0.01423285  5.35002539],5.335792536435762,,,,,,3129.861386138614,[-1.16306077e-07 -3.73562180e-04],-0.00037367848597434427,[-2.52694221e-07 -2.09465312e-04],-0.00020971800668543006
8782,,,,6460.957895789579,[-0.01386197  5.34647597],5.332613998658869,,,,,,3130.217821782178,[-1.17399262e-07 -3.73723795e-04],-0.00037384119398704466,[-2.51715672e-07 -2.09320765e-04],-0.00020957248069246778
8783,,,,6461.317831783179,[-0.01349062  5.3429254 ],5.329434775757722,,,,,,3130.5742574257424,[-1.1848810e-07 -3.7388532e-04],-0.00037400380828473816,[-2.50727805e-07 -2.09176168e-04],-0.00020942689532567124
8784,,,,6461.677767776778,[-0.01311883  5.33937369],5.326254855487289,,,,,,3130.930693069307,[-1.19572554e-07 -3.74046756e-04],-0.00037416632878597945,[-2.49730658e-07 -2.09031520e-04],-0.0002092812506567397
